ORIGINE	DESTINATION	Distance
1100119110	1100119103	605,02106
1100119110	1100119104	399,64902
1100119220	1100119208	353,15329
1100119220	1100119207	513,19574
1100119220	1100119216	1095,46924
1100119220	1100119202	1196,37598
1100118530	1100119110	860,09613
1100118530	1100119104	839,64215
1100118530	1100118519	635,17609
1100118530	1100118518	1033,5398
1100118530	1100119105	1411,4126
1100118530	1100118515	933,07489
1100118506	1100118517	795,98071
1100118506	1100118505	507,0459
1100118506	1100118535	1125,23962
1100118506	1100118507	454,15967
1100119216	1100119207	992,2381
1100119216	1100119214	686,3042
1100119216	1100119209	1170,49573
1100119216	1100119208	1206,03662
1100119216	1100119206	821,72681
1100119216	1100119220	1095,46924
1100119216	1100115636	1745,18042
1100119202	1100119112	1025,27795
1100119202	1100119203	646,49255
1100119202	1100119204	1365,22534
1100119202	1100119208	1431,90515
1100119202	1100119220	1196,37598
1100119202	1100119201	1494,84766
1100119202	1100119207	1126,81653
1100119104	1100119105	669,64526
1100119104	1100118530	839,64215
1100119104	1100119110	399,64902
1100119104	1100119115	1488,88709
1100118518	1100118508	936,80414
1100118518	1100118517	609,49426
1100118518	1100118510	643,67169
1100118518	1100118530	1033,5398
1100119207	1100119216	992,2381
1100119207	1100119220	513,19574
1100119207	1100119203	884,73743
1100119207	1100119205	1020,2146
1100119207	1100119206	886,81061
1100119207	1100119202	1126,81653
1100118507	1100118520	1633,40088
1100118507	1100118535	1118,15625
1100118507	1100118508	478,7565
1100118507	1100118517	965,18738
1100118507	1100118506	454,15967
1100119112	1100119202	1025,27795
1100119112	1100119108	967,42554
1100119112	1100119204	946,26917
1100119112	1100119201	2324,46362
1100119112	1100119122	1013,64862
1100119112	1100119121	1773,58484
1100119112	1100119123	1043,82666
1100119105	1100119104	669,64526
1100119105	1100119106	858,48932
1100119105	1100119115	1311,96314
1100119105	1100118515	1197,48291
1100119105	1100118530	1411,4126
1100119108	1100119106	1125,39685
1100119108	1100119112	967,42554
1100119108	1100119115	1482,60498
1100119108	1100119122	1022,96234
1100119108	1100119201	2115,97656
1100118508	1100118518	936,80414
1100118508	1100118509	386,60034
1100118508	1100118507	478,7565
1100118508	1100118520	1170,51758
1100118520	1100118507	1633,40088
1100118520	1100118510	1228,86731
1100118520	1100118509	803,36823
1100118520	1100118405	837,80243
1100118520	1100118508	1170,51758
1100118520	1100118511	916,41718
1100118520	1100118535	2186,96582
1100118520	1100118512	969,6806
1100118520	1100118513	917,19537
1100118515	1100118510	1343,55847
1100118515	1100118511	1500,6488
1100118515	1100119105	1197,48291
1100118515	1100119107	1600,04273
1100118515	1100118401	1486,60852
1100118515	1100118530	933,07489
1100118515	1100118514	602,52441
1100118515	1100119106	1586,28906
1100119203	1100119205	965,97522
1100119203	1100119202	646,49255
1100119203	1100119207	884,73743
1100119203	1100119204	807,64514
1100118510	1100118515	1343,55847
1100118510	1100118520	1228,86731
1100118510	1100118518	643,67169
1100118510	1100118511	361,9491
1100118510	1100118509	650,29804
1100119206	1100115622	1368,83826
1100119206	1100119205	677,43225
1100119206	1100119216	821,72681
1100119206	1100119207	886,81061
1100119206	1100115636	2027,56104
1100119106	1100119108	1125,39685
1100119106	1100119105	858,48932
1100119106	1100119116	412,85114
1100119106	1100119117	1116,40979
1100119106	1100119107	1103,11939
1100119106	1100118515	1586,28906
1100115634	1100115627	991,42304
1100115634	1100115635	711,67749
1100115634	1100115636	1076,35486
1100115634	1100115638	1490,18372
1100119205	1100119203	965,97522
1100119205	1100119206	677,43225
1100119205	1100119207	1020,2146
1100119205	1100115622	1578,80151
1100119205	1100115637	1200,15064
1100119205	1100119121	1679,22461
1100119205	1100119204	901,85376
1100118509	1100118508	386,60034
1100118509	1100118520	803,36823
1100118509	1100118510	650,29804
1100118511	1100118512	267,6579
1100118511	1100118515	1500,6488
1100118511	1100118510	361,9491
1100118511	1100118520	916,41718
1100118514	1100118513	1038,70044
1100118514	1100118512	949,86078
1100118514	1100118402	1227,70227
1100118514	1100118515	602,52441
1100119204	1100119121	1147,62817
1100119204	1100119202	1365,22534
1100119204	1100119203	807,64514
1100119204	1100119112	946,26917
1100119204	1100119205	901,85376
1100118512	1100118511	267,6579
1100118512	1100118514	949,86078
1100118512	1100118513	370,54337
1100118512	1100118520	969,6806
1100115622	1100119206	1368,83826
1100115622	1100115637	609,80298
1100115622	1100119205	1578,80151
1100115622	1100115633	1445,11499
1100115622	1100115636	1684,28821
1100115622	1100115618	741,25403
1100119116	1100119107	690,3692
1100119116	1100119117	926,13605
1100119116	1100119106	412,85114
1100118513	1100118514	1038,70044
1100118513	1100118402	913,40283
1100118513	1100118512	370,54337
1100118513	1100118405	1330,05273
1100118513	1100118404	1111,48425
1100118513	1100118520	917,19537
1100119122	1100119117	845,43512
1100119122	1100119123	559,46185
1100119122	1100119108	1022,96234
1100119122	1100119111	1561,95435
1100119122	1100119112	1013,64862
1100119107	1100119116	690,3692
1100119107	1100118401	653,17279
1100119107	1100119117	967,13532
1100119107	1100118515	1600,04273
1100119107	1100119106	1103,11939
1100119107	1100119118	973,61871
1100118401	1100118402	1055,91516
1100118401	1100119107	653,17279
1100118401	1100118515	1486,60852
1100118401	1100118417	1139,06787
1100115637	1100115616	712,50751
1100115637	1100115622	609,80298
1100115637	1100119205	1200,15064
1100115637	1100115618	418,85721
1100119121	1100119204	1147,62817
1100119121	1100115616	1231,5238
1100119121	1100119205	1679,22461
1100119121	1100119123	1358,29932
1100119121	1100119109	1210,29944
1100119121	1100119112	1773,58484
1100119121	1100115401	1358,323
1100119121	1100115613	574,32111
1100119121	1100115601	903,34381
1100119121	1100115402	1615,67065
1100119117	1100119122	845,43512
1100119117	1100119116	926,13605
1100119117	1100119107	967,13532
1100119117	1100119106	1116,40979
1100119117	1100119118	963,50165
1100119117	1100119111	1327,75244
1100118402	1100118401	1055,91516
1100118402	1100118513	913,40283
1100118402	1100118514	1227,70227
1100118402	1100118404	1176,54211
1100118402	1100118415	1169,61865
1100118402	1100118417	1221,54724
1100115627	1100115634	991,42304
1100115627	1100115623	327,66101
1100115627	1100115635	658,7735
1100115627	1100115636	1666,07141
1100115627	1100115633	822,33417
1100115627	1100115630	1155,12537
1100119123	1100119109	723,47028
1100119123	1100119122	559,46185
1100119123	1100119121	1358,29932
1100119123	1100119112	1043,82666
1100115616	1100115637	712,50751
1100115616	1100119121	1231,5238
1100115616	1100115617	511,10547
1100115616	1100115613	665,88495
1100115616	1100115619	1142,81787
1100115616	1100115612	502,39603
1100115623	1100115633	530,27881
1100115623	1100115627	327,66101
1100115623	1100115636	1829,9519
1100115632	1100115630	1057,03589
1100115632	1100115639	1858,66699
1100115632	1100115635	1420,39282
1100115632	1100115624	1253,32935
1100115632	1100115631	656,14563
1100115618	1100115617	267,78491
1100115618	1100115619	827,36304
1100115618	1100115637	418,85721
1100115618	1100115622	741,25403
1100115633	1100115623	530,27881
1100115633	1100115630	1348,953
1100115633	1100115622	1445,11499
1100115633	1100115627	822,33417
1100115633	1100115619	1172,53027
1100115633	1100115620	1087,94141
1100115633	1100115625	1191,06433
1100115633	1100115629	1049,18372
1100115617	1100115618	267,78491
1100115617	1100115616	511,10547
1100115617	1100115619	696,10663
1100115630	1100115632	1057,03589
1100115630	1100115633	1348,953
1100115630	1100115629	1041,28198
1100115630	1100115635	951,02564
1100115630	1100115624	1763,22925
1100115630	1100115627	1155,12537
1100118404	1100118413	893,92914
1100118404	1100118415	1162,30261
1100118404	1100118402	1176,54211
1100118404	1100118406	847,81152
1100118404	1100118405	491,15695
1100118404	1100118513	1111,48425
1100115613	1100115612	591,39063
1100115613	1100115601	870,89722
1100115613	1100115616	665,88495
1100115613	1100119121	574,32111
1100119111	1100119118	1180,9978
1100119111	1100119109	845,06195
1100119111	1100118418	2305,86377
1100119111	1100115303	1659,58374
1100119111	1100119122	1561,95435
1100119111	1100118417	2313,85034
1100119111	1100115302	1298,08081
1100119111	1100115301	803,44775
1100119111	1100119117	1327,75244
1100119109	1100119123	723,47028
1100119109	1100119111	845,06195
1100119109	1100115401	723,99677
1100119109	1100119121	1210,29944
1100115612	1100115613	591,39063
1100115612	1100115611	501,77466
1100115612	1100115601	896,03833
1100115612	1100115610	697,78351
1100115612	1100115616	502,39603
1100119118	1100119111	1180,9978
1100119118	1100118417	1283,25012
1100119118	1100119117	963,50165
1100119118	1100119107	973,61871
1100115619	1100115620	401,19244
1100115619	1100115618	827,36304
1100115619	1100115617	696,10663
1100115619	1100115633	1172,53027
1100115619	1100115616	1142,81787
1100115619	1100115610	1018,40106
1100115619	1100115615	818,44232
1100118417	1100118415	1239,27808
1100118417	1100119118	1283,25012
1100118417	1100118401	1139,06787
